"DateTime","Players","Average Players","Twitch Viewers"
"2015-02-14 00:00:00",8488,,
"2015-02-15 00:00:00",8489,,
"2015-02-16 00:00:00",,,
"2015-02-17 00:00:00",6860,,
"2015-02-18 00:00:00",6910,,
"2015-02-19 00:00:00",6743,,
"2015-02-20 00:00:00",8013,,
"2015-02-21 00:00:00",8450,,
"2015-02-22 00:00:00",8373,,
"2015-02-23 00:00:00",6902,,
"2015-02-24 00:00:00",6764,,
"2015-02-25 00:00:00",,,
"2015-02-26 00:00:00",,,
"2015-02-27 00:00:00",,,
"2015-02-28 00:00:00",,,
"2015-03-01 00:00:00",9857,,
"2015-03-02 00:00:00",,,
"2015-03-03 00:00:00",,,
"2015-03-04 00:00:00",,,
"2015-03-05 00:00:00",,,
"2015-03-06 00:00:00",,,
"2015-03-07 00:00:00",,,
"2015-03-08 00:00:00",,,
"2015-03-09 00:00:00",,,
"2015-03-10 00:00:00",,,
"2015-03-11 00:00:00",,,
"2015-03-12 00:00:00",,,
"2015-03-13 00:00:00",,,
"2015-03-14 00:00:00",,,
"2015-03-15 00:00:00",,,
"2015-03-16 00:00:00",,,
"2015-03-17 00:00:00",,,
"2015-03-18 00:00:00",,,
"2015-03-19 00:00:00",,,
"2015-03-20 00:00:00",,,
"2015-03-21 00:00:00",,,
"2015-03-22 00:00:00",,,
"2015-03-23 00:00:00",,,
"2015-03-24 00:00:00",,,
"2015-03-25 00:00:00",,,
"2015-03-26 00:00:00",,,
"2015-03-27 00:00:00",,,
"2015-03-28 00:00:00",,,
"2015-03-29 00:00:00",,,
"2015-03-30 00:00:00",,,
"2015-03-31 00:00:00",,,
"2015-04-01 00:00:00",9761,,
"2015-04-02 00:00:00",,,
"2015-04-03 00:00:00",,,
"2015-04-04 00:00:00",,,
"2015-04-05 00:00:00",,,
"2015-04-06 00:00:00",,,
"2015-04-07 00:00:00",,,
"2015-04-08 00:00:00",,,
"2015-04-09 00:00:00",,,
"2015-04-10 00:00:00",,,
"2015-04-11 00:00:00",,,
"2015-04-12 00:00:00",,,
"2015-04-13 00:00:00",,,
"2015-04-14 00:00:00",,,
"2015-04-15 00:00:00",,,
"2015-04-16 00:00:00",,,
"2015-04-17 00:00:00",,,
"2015-04-18 00:00:00",,,
"2015-04-19 00:00:00",6966,,
"2015-04-20 00:00:00",6221,,
"2015-04-21 00:00:00",6218,,
"2015-04-22 00:00:00",6183,,
"2015-04-23 00:00:00",6112,,
"2015-04-24 00:00:00",6269,,
"2015-04-25 00:00:00",9861,,
"2015-04-26 00:00:00",9338,,
"2015-04-27 00:00:00",7813,,
"2015-04-28 00:00:00",6807,,
"2015-04-29 00:00:00",7238,,
"2015-04-30 00:00:00",7084,,
"2015-05-01 00:00:00",7639,,
"2015-05-02 00:00:00",9259,,
"2015-05-03 00:00:00",8717,,
"2015-05-04 00:00:00",7930,,
"2015-05-05 00:00:00",7120,,
"2015-05-06 00:00:00",6731,,
"2015-05-07 00:00:00",6614,,
"2015-05-08 00:00:00",9572,,
"2015-05-09 00:00:00",9714,,
"2015-05-10 00:00:00",9817,,
"2015-05-11 00:00:00",8254,,
"2015-05-12 00:00:00",7863,,
"2015-05-13 00:00:00",7629,,
"2015-05-14 00:00:00",7444,,
"2015-05-15 00:00:00",7634,,
"2015-05-16 00:00:00",8401,,
"2015-05-17 00:00:00",8644,,
"2015-05-18 00:00:00",7406,,
"2015-05-19 00:00:00",7007,,
"2015-05-20 00:00:00",6694,,
"2015-05-21 00:00:00",6721,,
"2015-05-22 00:00:00",7016,,
"2015-05-23 00:00:00",7555,,
"2015-05-24 00:00:00",7947,,
"2015-05-25 00:00:00",7619,,
"2015-05-26 00:00:00",6674,,
"2015-05-27 00:00:00",6417,,
"2015-05-28 00:00:00",6112,,
"2015-05-29 00:00:00",6176,,
"2015-05-30 00:00:00",7021,,
"2015-05-31 00:00:00",7709,,
"2015-06-01 00:00:00",6515,,
"2015-06-02 00:00:00",5950,,
"2015-06-03 00:00:00",5504,,
"2015-06-04 00:00:00",5575,,
"2015-06-05 00:00:00",5633,,
"2015-06-06 00:00:00",6132,,
"2015-06-07 00:00:00",6729,,
"2015-06-08 00:00:00",5893,,
"2015-06-09 00:00:00",5782,,
"2015-06-10 00:00:00",5591,,
"2015-06-11 00:00:00",5384,,
"2015-06-12 00:00:00",5125,,
"2015-06-13 00:00:00",5563,,
"2015-06-14 00:00:00",5904,,
"2015-06-15 00:00:00",5149,,
"2015-06-16 00:00:00",5253,,
"2015-06-17 00:00:00",5154,,
"2015-06-18 00:00:00",5182,,
"2015-06-19 00:00:00",5667,,
"2015-06-20 00:00:00",5992,,
"2015-06-21 00:00:00",6144,,
"2015-06-22 00:00:00",5406,,
"2015-06-23 00:00:00",5297,,
"2015-06-24 00:00:00",5219,,
"2015-06-25 00:00:00",5242,,
"2015-06-26 00:00:00",4966,,
"2015-06-27 00:00:00",5511,,
"2015-06-28 00:00:00",6071,,
"2015-06-29 00:00:00",5321,,
"2015-06-30 00:00:00",4908,,
"2015-07-01 00:00:00",4973,,
"2015-07-02 00:00:00",4819,,
"2015-07-03 00:00:00",4932,,
"2015-07-04 00:00:00",4864,,
"2015-07-05 00:00:00",5587,,
"2015-07-06 00:00:00",5000,,
"2015-07-07 00:00:00",5354,,
"2015-07-08 00:00:00",5308,,
"2015-07-09 00:00:00",5277,,
"2015-07-10 00:00:00",28024,,
"2015-07-11 00:00:00",28916,,
"2015-07-12 00:00:00",32297,,
"2015-07-13 00:00:00",29644,,
"2015-07-14 00:00:00",28567,,
"2015-07-15 00:00:00",27086,,
"2015-07-16 00:00:00",26026,,
"2015-07-17 00:00:00",25507,,5917
"2015-07-18 00:00:00",27113,,11931
"2015-07-19 00:00:00",28861,,6682
"2015-07-20 00:00:00",26445,,7085
"2015-07-21 00:00:00",24675,,6895
"2015-07-22 00:00:00",23436,,6181
"2015-07-23 00:00:00",23743,,9542
"2015-07-24 00:00:00",22608,,6792
"2015-07-25 00:00:00",24701,,6162
"2015-07-26 00:00:00",26639,,8128
"2015-07-27 00:00:00",23898,,6686
"2015-07-28 00:00:00",22119,,5801
"2015-07-29 00:00:00",20573,,5134
"2015-07-30 00:00:00",20572,,5920
